Position Title,Date,Apply,Work Model,Location,Company,Salary,Hire Time,Graduate Time,Company Industry,Company Size,Qualifications
Multimedia Engineering Internship – Summer 2026,2026-03-19,https://jobright.ai/jobs/info/69a5cebdb600907a962b7ec0?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
San Diego, CA
Santa Clara, CA",Qualcomm,$17-$98 /hr,2026-Summer,,"Artificial Intelligence (AI),Generative AI",10000+,"1. Currently enrolled in a bachelor’s, master’s, or Ph.D. degree program in computer engineering, computer science, electrical engineering, or a related field
2. Must be available for 11–14 weeks during Summer 2026 (May–September)
3. Expected graduation date of November 2026 or later
..."
Frontend Software Engineer Intern (Ads Measurement Signal and Privacy) - 2026 Summer (BS/MS),2026-03-19,https://jobright.ai/jobs/info/696850701703f05405a9fecd?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",TikTok,$45-$60 /hr,2026-Summer,,"Content Creators,Content Discovery",10000+,"1. Currently pursuing an Undergraduate/Master in Computer Science, Computer Engineering or a related technical discipline.
2. Strong knowledge of data structures and algorithms, proficient in at least one coding language, including but not limited to Go, Javascript, Java, C++.
3. Excellent communication, teamwork skills and ability to work under pressure.
..."
Summer 2026 IT Internship (Bachelors Graduating in 2027),2026-03-19,https://jobright.ai/jobs/info/69682984f25a38006696845c?utm_source=1099&utm_campaign=Software Engineer,On Site,"Milpitas, CA",Sandisk,N/A,2026-Summer,2027,"Data Storage,Manufacturing",10000+,"1. Currently enrolled as a Junior (graduating 2027) in a relevant undergraduate program
2. Business Track: MIS, Business Analytics, Quantitative Finance, or related major; experience with Excel and Power BI/Tableau; interest in IT strategy, digital transformation, or IT finance
3. Technical Track: Computer Science, Computer Engineering, Data Analytics, or related major; familiarity with Python, PowerShell, SQL, Java, or cloud technologies; interest in systems, networking, or enterprise applications"
(General Hire) Software Engineer Intern (TikTok Eng-Short Video) - 2026 Summer (BS/MS),2026-03-19,https://jobright.ai/jobs/info/698470ac0f6f7e7a2cdecdb2?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",TikTok,$$45-$$45 /hr,2026-Summer,,"Content Creators,Content Discovery",10000+,"1. Currently pursuing an Undergraduate/Graduate/Master in Software Development, Computer Science, Computer Engineering, or a related technical discipline
2. Able to commit to working for 12 weeks during Summer 2026
3. Experience with Python, Java, Golang, C#, or C++"
Software Developer Intern,2026-03-19,https://jobright.ai/jobs/info/698556e3348f733a5c39a75c?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
North Charleston, SC
US-SC-North Charleston",Scientific Research Corporation,N/A,,,Biotechnology,1001-5000,"1. Student majoring in Computer Engineering, Computer Science, or a related discipline
2. Minimum of 3.00 Grade Point Average (GPA)
3. Eligibility to possibly obtain a DoW Secret security clearance
..."
Software Engineer Intern (Ads Measurement Signal and Privacy) - 2026 Summer (BS/MS),2026-03-19,https://jobright.ai/jobs/info/69684480f25a38006696ade9?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",TikTok,$45-$60 /hr,2026-Summer,,"Content Creators,Content Discovery",10000+,"1. Currently pursuing an Undergraduate/Master in Computer Science, Computer Engineering or a related technical discipline.
2. Strong knowledge of data structures and algorithms.
3. Proficient in at least one coding language, including but not limited to Go, Javascript, Java, C++.
..."
[Online Assessment] Software Engineer Intern (Relational Database) - 2026 Summer (BS/MS),2026-03-19,https://jobright.ai/jobs/info/68d95df8022fc803b487713a?utm_source=1099&utm_campaign=Software Engineer,On Site,"Seattle, WA",ByteDance,$42.75-$42.75 /hr,2026-Summer,,"Content,Data Mining",10000+,"1. Currently pursuing a degree in Computer Science, Computer Engineering, or other related fields
2. Knowledge of database kernel, distributed system, query processing and optimization, multi-threaded programming
3. Experience coding in C/C++, Golang, Java, Python
..."
Frontend Engineer Intern (Trust and Safety-Engineering-Risk & Response) - 2026 Summer (BS/MS),2026-03-19,https://jobright.ai/jobs/info/69aa0e249ca4e908ec655995?utm_source=1099&utm_campaign=Software Engineer,On Site,"Seattle, WA",TikTok,$42.75-$42.75 /hr,2026-Summer,,"Content Creators,Content Discovery",10000+,"1. Currently pursuing an Undergraduate/Master in Computer Science, Computer Engineering, or a related technical discipline.
2. Able to commit to working for 12 weeks during Summer2025.
3. Ability to think critically and to formulate solutions to problems in a clear and concise way."
Software Engineer Intern (Ads Infrastructure) - 2026 Summer (BS/MS),2026-03-19,https://jobright.ai/jobs/info/6968a9b61703f05405aa7c48?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",TikTok,$45-$60 /hr,2026-Summer,,"Content Creators,Content Discovery",10000+,"1. Currently pursuing an Undergraduate/Master in Computer Science or a related technical discipline.
2. Excellent programming, debugging, and optimization skills in one or more general-purpose programming languages, including but not limited to: Go, C/C++, Python, and Java.
3. Ability to think critically and to formulate solutions to problems in a clear and concise way.
..."
GPU/AI Application System Software Engineer Intern (System Technologies and Engineering) - 2026 Summer (BS/MS),2026-03-19,https://jobright.ai/jobs/info/692e7f5a4c474121999d9dde?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",TikTok,$45-$45 /hr,2026-Summer,,"Content Creators,Content Discovery",10000+,"1. Must be able to commit to a 12-week full-time work period during Summer 2026
2. Currently pursuing a Bachelor's, Master's, or PhD degree within Computer Engineering in Electrical Engineering, Computer Engineering, Computer Science or related majors.
3. Background with GPU/CPU benchmarking
..."
Software Development Engineer Intern (Metadata Storage) - 2026 Start (PhD),2026-03-19,https://jobright.ai/jobs/info/69ab63eb2747003c3d50fe6d?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",ByteDance,$$60-$$60 /hr,2026,,"Content,Data Mining",10000+,"1. Currently pursuing a PhD degree in Computer Science or related fields in Computer Science, Electrical Engineering, or a related technical field.
2. Strong programming skills in C++ or Go in Linux environments, with experience in writing clean, maintainable and testable code.
3. Have a solid understanding of CS Fundamentals: basic data structures (lists, queues, stacks, trees, graphs, hash tables) and algorithms (binary search, quick sort, divide and conquer, backtracking), operating system (processes, threads, mutexes, semaphores, deadlock, paging, segmentation, file system), network (OSI models, TCP/UDP, IP addressing, HTTP, DNS).
..."
"Intern, Backend Development",2026-03-19,https://jobright.ai/jobs/info/69bbc71478a5df4797fd63fd?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Burbank, CA
United States",Backstage,$30-$35 /hr,,,"Content Creators,Content Marketing",51-100,"1. Currently enrolled in a graduate program in Computer Science, Software Engineering, or a related field
2. Solid .NET / C# skills — you have built something real with it, not just completed coursework
3. Strong relational database knowledge — comfortable writing complex queries, understanding indexes, and reasoning about data integrity
..."
"Intern, Software Engineering",2026-03-19,https://jobright.ai/jobs/info/69bbc71478a5df4797fd63f9?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
United States
Burbank, CA",Backstage,$30-$35 /hr,,,"Content Creators,Content Marketing",51-100,"1. Currently pursuing a Bachelor’s or Master’s degree in Computer Science or Software Engineering
2. Strong academic performance and demonstrated curiosity in engineering and technology
3. Foundational programming experience with JavaScript or TypeScript
..."
Intern,2026-03-19,https://jobright.ai/jobs/info/69bbc71478a5df4797fd63fb?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Burbank, CA
United States",Backstage,$30-$35 /hr,,,"Content Creators,Content Marketing",51-100,"1. Currently pursuing a degree in Computer Science, Software Engineering, or related field
2. Strong foundation in JavaScript/TypeScript and web development
3. Familiarity with frontend frameworks and backend API development
..."
"Research Intern, Low Latency Video Codec (Multimedia Lab) - 2026 Start (PhD)",2026-03-19,https://jobright.ai/jobs/info/68d9afc5022fc803b48779e3?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Diego, CA",ByteDance,$$57-$$57 /hr,2026,,"Content,Data Mining",10000+,"1. Currently pursuing a PhD in computer science or electrical engineering/mathematics/statistics and related disciplines
2. Good understanding of state-of-art compression/transmission/processing algorithms
3. Excellent programming, debugging, and optimization skills in one or more general-purpose programming languages including but not limited to: C/C++ and Python"
Software Engineering Intern- Summer 2026,2026-03-19,https://jobright.ai/jobs/info/69b62c9156973837413b6da2?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Atlanta, GA",GoTo Foods,N/A,2026-Summer,,"Food and Beverage,Food Processing",1001-5000,"1. Must be currently pursuing a bachelors or master's degree relevant to the discipline
2. Must be currently enrolled as a junior, senior, or graduate student, with an expected graduation date in May 2026, August 2026, December 2026, or May 2027.
3. Proven work ethic
..."
Software Engineer Intern,2026-03-19,https://jobright.ai/jobs/info/69c0f8b57798f73e35e5b7a4?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Boulder, CO",NetApp Learning Services,N/A,,,,,"1. Must be enrolled in an educational or professional program through summer 2026 or later.
2. OS fundamentals
3. C / C++
..."
"Software Engineer, Intern (Summer)",2026-03-18,https://jobright.ai/jobs/info/69bf7cca2c312363dcd23317?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
New York, United States
Seattle, WA
San Francisco, CA",Stripe,$123500-$123500 /yr,Summer,,"Finance,FinTech",5001-10000,"1. A strong fundamental understanding of computer science through pursuit of a Bachelor’s or Master’s degree in computer science, math, or a related discipline
2. Some experience and familiarity with programming, either through side projects or classwork. We work mostly in Java, Ruby, JavaScript, Scala, and Go. We believe new programming languages can be learned if the fundamentals and general knowledge are present
3. Experience from previous internships or other multi-person projects, including open source contributions, that demonstrate evaluating and receiving feedback from mentors, peers, and stakeholders
..."
2026 Summer Intern - Information Technology (HYBRID),2026-03-18,https://jobright.ai/jobs/info/69bf7c8b79e36d3a847c11a9?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
Charlotte, NC
UNITED STATES-NY-Syracuse
UNITED STATES-NC-Charlotte",Equitable,$25-$25 /hr,2026-Summer,,"Banking,Consulting",5001-10000,"1. Desired Majors: Computer Science, Cyber Security, Management Information Systems, Mathematics
2. Participation in extracurricular activities and leadership positions within school or community preferred
3. Strong project management, analytical skills and technical skills, specifically Java/Python
..."
Firmware Engineering Intern,2026-03-18,https://jobright.ai/jobs/info/69bb96e13b74eb1e2c8a1b64?utm_source=1099&utm_campaign=Software Engineer,On Site,"Madison, WI",Last Lock,$18-$24 /hr,,,"Enterprise Applications,Physical Security",11-50,"1. Current undergraduate or graduate student in Computer Engineering, Electrical Engineering, Computer Science, or related field.
2. Comfortable programming in C and C++; basic Python or scripting for test automation is a plus.
3. Familiar with embedded systems fundamentals: peripherals (UART/SPI/I²C), interrupts, DMA, timers, and power management.
..."
"Intern, Software Development & Automation - Summer 2026",2026-03-18,https://jobright.ai/jobs/info/69bb710c569738374141739e?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Diego, CA, US",Murata,$25.63-$48.60 /hr,2026-Summer,,"Electronics,Manufacturing",11-50,"1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Computer Engineering, Electrical Engineering, or a related technical field.
2. Strong foundational programming skills with experience in C#/.NET or another object-oriented programming language.
3. Exposure to Python for scripting, automation, data analysis, or related technical work.
..."
"Intern, Software Development & Automation - Summer 2026",2026-03-18,https://jobright.ai/jobs/info/69bb6d9406c1ba00c54ddfe5?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Diego, CA","pSemi, A Murata Company",$25.63-$48.60 /hr,2026-Summer,,"Electrical Distribution,Manufacturing",501-1000,"1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Computer Engineering, Electrical Engineering, or a related technical field.
2. Strong foundational programming skills with experience in C#/.NET or another object-oriented programming language.
3. Exposure to Python for scripting, automation, data analysis, or related technical work.
..."
Digital Design Engineer (Internship),2026-03-18,https://jobright.ai/jobs/info/69bb5c1c5697383741415e02?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",Astera Labs,N/A,,,"Automotive,Electronics",251-500,"1. Pursuing BS or MS in EE/CS or related fields.
2. Exposure to Digital design or verification, VLSI design and circuits, Computer Architecture.
3. Hands-on and knowledge of RTL design languages and tools including Verilog, System Verilog.
..."
"Intern, Software Engineering",2026-03-18,https://jobright.ai/jobs/info/69bb561a5697383741415959?utm_source=1099&utm_campaign=Software Engineer,On Site,"Arvada, CO",Moog Inc.,$28-$34 /hr,,,"Aerospace,Industrial",10000+,"1. Enrolled in a Software Engineering, Computer Engineering, Computer Science, and/or other relevant engineering Bachelor's or Master's Degree program, at an accredited university.
2. GPA of at least 3.0; exact GPA requirement will be specified by department.
3. This position requires access to U.S. export-controlled information.
..."
Internship - Software Testing,2026-03-18,https://jobright.ai/jobs/info/69bb50fa3b74eb1e2c89baef?utm_source=1099&utm_campaign=Software Engineer,On Site,"Indianapolis, IN",Beckman Coulter Life Sciences,N/A,,,"Biotechnology,Life Science",1-10,"1. Undergraduate student entering final year of a Computer Science, Computer Engineering, or related bachelor’s program
2. Solid understanding of software engineering fundamentals and core software testing principles
3. Familiarity with at least one programming language commonly used in automated testing (e.g., Python, JavaScript)
..."
Web Developer Intern (A/B Testing Focus) - Summer 2026,2026-03-18,https://jobright.ai/jobs/info/69bb3ee33b74eb1e2c89b144?utm_source=1099&utm_campaign=Software Engineer,On Site,"North Carolina, United States",Lenovo,N/A,2026-Summer,,"Computer,Consumer Electronics",10000+,"1. Pursuing a bachelor’s degree in Computer Science or Engineering, Software Engineering, Web Development, Digital Media, or similar fields.
2. Strong foundational skills in HTML, CSS, and JavaScript.
3. Understanding of responsive web design and accessibility fundamentals.
..."
"Student Assistant Internship (Dedicated Support), Ref# 10997",2026-03-18,https://jobright.ai/jobs/info/69bb2a25569738374141292b?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
New York, NY
Albany, NY",NYS Office of Information Technology Services,$23-$26 /hr,,,"Cyber Security,Government",1001-5000,"1. Must be a US citizen or foreign national eligible to work in the United States
2. Must be 18 years of age or older
3. Must be currently attending a New York State college, university or graduate program, or be a resident of New York State attending a college, university or graduate program outside of New York State
..."
Without Compensation (WOC) Research Computer Scientist,2026-03-18,https://jobright.ai/jobs/info/69bb26cc3b74eb1e2c89957e?utm_source=1099&utm_campaign=Software Engineer,On Site,"Pittsburgh, PA",U.S. Department of Veterans Affairs,Unpaid,,,"Government,Medical",10000+,"1. Experience in constructing and managing databases relevant to research projects - with minimum supervision
2. Experience in validating data and programs through use of frequencies - listings - summaries - calculation of meaningful data metrics
3. Experience developing and maintaining data statistical and database computer programs - reviewing analytical results for accuracy and completeness
..."
IT Web Development Intern,2026-03-18,https://jobright.ai/jobs/info/69bb23dc56973837414121fc?utm_source=1099&utm_campaign=Software Engineer,On Site,"Shirley, NY","American Regent, Inc.",$20-$23 /hr,,,"Health Care,Medical",501-1000,"1. Currently pursuing a bachelor’s or master’s degree in computer science, web development, engineering or a related technical field.
2. Basic understanding of a Microsoft Windows environment.
3. Basic or Working knowledge of Microsoft Office and/or O365 platform helpful.
..."
"Intern, Software Engineering",2026-03-18,https://jobright.ai/jobs/info/69bb23bb3b74eb1e2c89900b?utm_source=1099&utm_campaign=Software Engineer,On Site,"Arvada, CO",Moog Inc.,$28.79-$34.29 /hr,,,"Aerospace,Industrial",10000+,"1. Enrolled in a Software Engineering, Computer Engineering, Computer Science, and/or other relevant engineering Bachelor's or Master's Degree program, at an accredited university.
2. GPA of at least 3.0; exact GPA requirement will be specified by department.
3. This position requires access to U.S. export-controlled information.
..."
Software Engineer Intern,2026-03-18,https://jobright.ai/jobs/info/69bb1fca3b74eb1e2c898cc1?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Eagan, MN
United States of America, Eagan, Minnesota",Thomson Reuters,$$0-$$0 /yr,,,"Advice,Analytics",10000+,"1. Currently pursuing a degree in Computer Science, Software Engineering, IT, or related field.
2. Basic understanding of REST APIs, logs/metrics, and performance concepts.
3. Familiarity with any programming language (C#, Java, JavaScript, Python).
..."
Internship - Software Testing,2026-03-18,https://jobright.ai/jobs/info/69bb19df3b74eb1e2c897e08?utm_source=1099&utm_campaign=Software Engineer,On Site,"Indianapolis, Indiana, United States",Danaher Corporation,N/A,,,"Biotechnology,Health Care",10000+,"1. Undergraduate student entering final year of a Computer Science, Computer Engineering, or related bachelor’s program
2. Solid understanding of software engineering fundamentals and core software testing principles
3. Familiarity with at least one programming language commonly used in automated testing (e.g., Python, JavaScript)
..."
"IT Solution Engineering Internship (Hybrid, Clearwater, FL)",2026-03-18,https://jobright.ai/jobs/info/69bb19463b74eb1e2c897c9c?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
Clearwater, FL
5741 Rio Vista Dr, Clearwater, Americas, 33760, US",TeamViewer,N/A,,,"Cloud Computing,Collaboration",1001-5000,"1. Enrolled student in the field of Business Administration, Business Informatics, Economics, Logistics Management, Engineering, Sales, Project Management or any other related field
2. You are looking for a working student position (20 hours/week) next to your studies
3. Fluency in English is mandatory
..."
Software Engineering Intern,2026-03-18,https://jobright.ai/jobs/info/69bb14ce3b74eb1e2c89779a?utm_source=1099&utm_campaign=Software Engineer,On Site,"Jacksonville, FL 32256",Beeline,N/A,,,"Enterprise Software,Human Resources",501-1000,"1. Currently pursuing a bachelor’s degree OR HIGHER in Computer Science, Computer Engineering or Software Engineering
2. Knowledge of Objected Orientated Programming
3. Understanding of SQL
..."
Design Internship (AI & Experimental Design),2026-03-18,https://jobright.ai/jobs/info/69bb14ae3b74eb1e2c897779?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Boca Raton, Florida, United States",The SilverLogic,Unpaid,,,"Artificial Intelligence (AI),Computer",51-100,"1. Pursuing or recently completed a degree in Design, HCI, Digital Media, or related field, or strong portfolio equivalent.
2. Strong UI/UX fundamentals and visual design skills.
3. Proficiency in Figma (required). Framer, Webflow, or low-code tools are a plus.
..."
Frontend Developer,2026-03-18,https://jobright.ai/jobs/info/69bb323e3b74eb1e2c899e8e?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Go Offer,Unpaid,,,,11-50,"1. Short-term unpaid remote internship for students.
2. You'll be placed on our product team with a mentor.
3. Work on user-facing features for our platform.
..."
Full Stack Engineer,2026-03-18,https://jobright.ai/jobs/info/69bb32473b74eb1e2c899e9c?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Go Offer,Unpaid,,,,11-50,
Mobile Engineer,2026-03-18,https://jobright.ai/jobs/info/69bb32965697383741412f2f?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Go Offer,Unpaid,,,,11-50,"1. Short-term unpaid remote internship for students.
2. Build mobile experiences for our platform.
3. Work with a mentor on our mobile team.
..."
Quality Assurance Intern,2026-03-18,https://jobright.ai/jobs/info/69bb328f5697383741412f0a?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Go Offer,Unpaid,,,,11-50,"1. Short-term unpaid remote internship for students.
2. Join our QA team with a dedicated mentor.
3. Learn how to ensure product quality.
..."
Software Engineer Intern,2026-03-18,https://jobright.ai/jobs/info/69bb32a15697383741412f5a?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Go Offer,Unpaid,,,,11-50,"1. Currently enrolled in a degree program related to Computer Science, Software Engineering, or a related field
2. Basic understanding of programming languages such as Python, Java, or JavaScript
3. Willingness to learn and adapt to new technologies
..."
"Software Engineer Internship, Frontend",2026-03-18,https://jobright.ai/jobs/info/69bb10e45697383741410442?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"New York, NY",Ramp,$11700-$11700 /mon,,,"Finance,Financial Services",1001-5000,"1. Currently pursuing a B.S. (or higher) in Computer Science or a related technical field, with an expected graduation date between 2026 - 2028
2. Proficiency in JavaScript, with a knack for getting the visuals right
3. Experience with one or more object-oriented programming languages
..."
"Software Engineer Internship, iOS",2026-03-18,https://jobright.ai/jobs/info/69bb0ef33b74eb1e2c896fe3?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
New York, NY
San Francisco, CA
New York, NY (HQ)",Ramp,$11700-$11700 /mon,,,"Finance,Financial Services",1001-5000,"1. Currently pursuing a B.S. (or higher) in Computer Science or a related technical field, with an expected graduation date between Dec 2026 - 2028
2. Looking for a Summer 2026 program
3. Proficiency in SwiftUI and Swift
..."
Intern - MS,2026-03-18,https://jobright.ai/jobs/info/69bb03b6569738374140da79?utm_source=1099&utm_campaign=Software Engineer,On Site,"Bothell, WA",VIAVI Solutions,$18-$34 /hr,,,"Aerospace,Automotive",1001-5000,"1. Enrollment or recent completion of degree program studying STEM related field - engineering, software or sciences including physics/optics
2. Authorization to work in the US (no visa support)
3. Availability to work onsite in Bothell, WA full time for minimum of 2 months
..."
US 2026 Software - Embedded Intern,2026-03-18,https://jobright.ai/jobs/info/69af53e2dfaeda6ff597700a?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",TetraMem - Accelerate The World,$35-$45 /hr,2026,,,11-50,"1. Currently pursuing a degree in Computer Science, Electrical Engineering, or related field
2. Familiar with C/C++, Rust and Python for embedded systems
3. Familiar with AI and Machine learning concepts and models
..."
"Intern, Software Engineering - June 2026",2026-03-18,https://jobright.ai/jobs/info/69c2cce794007a2195dec2f1?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Seattle, 1910 Fairview, Avanade
Los Angeles, 6181 W Centinela Ave, Corp",Accenture,$25-$25 /hr,2026-June,,"Business Information Systems,Construction",10000+,"1. Students on track to complete in 2026 of a bachelor's degree in computer science, Computer Engineering, or a related field
2. Coursework or academic projects involving software development, cloud computing, or web services
3. Familiarity with at least one programming language such as C#, .NET, or Java
..."
D365 ERP Technical Intern - Public Sector,2026-03-18,https://jobright.ai/jobs/info/69bae97906c1ba00c54d3d30?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Chicago, IL
Chicago IL USA",Crowe,$27-$42 /hr,,,"Accounting,Advice",10000+,"1. Assist clients with the implementation of technology as they transform their business.
2. Enhance governance, identify risks, and support compliance through system implementation and/or enhancement.
3. Assist clients with technology-enabled process improvement and help them refine their information security environment.
..."
Java Developer - Intern,2026-03-18,https://jobright.ai/jobs/info/6999e144ce78e77b4fdeb4f6?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Santa Clara, CA
Santa Clara,CA",Applied Materials,N/A,,,"Electronics,Manufacturing",10000+,"1. Proficiency in programming, especially in Java.
2. Experience with microservice architecture and related technologies.
3. Capability to collaborate with application and systems teams to comprehend system requirements and translate them into software designs.
..."
WaveLogic Software Intern (Summer 2026),2026-03-18,https://jobright.ai/jobs/info/6966e089b098f4515f4e3d67?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
Atlanta, GA
Atlanta",Ciena,$27-$38 /hr,2026-Summer,,"Collaboration,Delivery",5001-10000,"1. Working towards completion of Bachelor’s degree in Electrical/Computer Engineering
2. C, C++ programming language experience
3. Good knowledge of embedded systems, device drivers (e.g., GPIO, I2C drivers), Linux/RTOS Operating System knowledge, mutual exclusion, synchronization, interrupt handling, inter-process communication, memory management etc.
..."
"Summer 2026 Intern, R&D Software Development - Undergraduate",2026-03-18,https://jobright.ai/jobs/info/69badc9506c1ba00c54d28df?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Boulder, CO",Synopsys Inc,N/A,2026-Summer,,"Electronic Design Automation (EDA),Information Services",10000+,"1. Currently pursuing a Bachelor of Science in Applied Mathematics, Computer Science, Mechanical Engineering, Physics, or a related technical degree with a GPA of 3.0 or higher.
2. Enrolled in a full-time degree program and planning to return to university after the completion of the internship program.
3. Experience in object-oriented computer programming languages such as C++, C#, or Python."
Test Engineering Intern,2026-03-18,https://jobright.ai/jobs/info/6969bd12f25a380066987500?utm_source=1099&utm_campaign=Software Engineer,On Site,"Hudson, NH",Mercury Systems,N/A,,,"Computer,Electronics",1001-5000,"1. Currently pursuing a bachelor’s or master’s degree in electrical or computer engineering
2. A minimum GPA of 3.1 is required. You will be asked to submit your transcripts during the review process
3. Coursework or project experience in testing methodologies
..."
2026 Interns,2026-03-18,https://jobright.ai/jobs/info/69bb08dd569738374140e4f4?utm_source=1099&utm_campaign=Software Engineer,Remote,"Dallas, TX",Givelify,N/A,,,"Apps,Mobile",1-10,"1. Prior software development Internships or experience
2. High School diploma
3. Basic software development proficiency"
"Senior Software Engineer, Strategic Customer Engagements",2026-03-18,https://jobright.ai/jobs/info/69bad5d806c1ba00c54d24a7?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Arlington, VA",Planet,$143K-$178K /yr,,,"Aerospace,Analytics",501-1000,"1. 6+ years of relevant work experience in software engineering or in an equivalent technical role.
2. Experience with geospatial software development and concepts (e.g., Rasterio, Fiona, Shapely, OpenLayers, GDAL).
3. AWS or GCP experience.
..."
Fall 2026 - IT - Collegiate Associate Intern,2026-03-18,https://jobright.ai/jobs/info/69826cb40a9e07331f8d716f?utm_source=1099&utm_campaign=Software Engineer,On Site,"Savannah, GA",Gulfstream Aerospace,N/A,2026-Fall,,"Aerospace,Automotive",10000+,"1. Must be currently pursuing a Bachelor's degree or higher in information technology, information systems, math, computer science, or a related curriculum.
2. Cumulative GPA of 3.0 or higher (unrounded); must be listed on resume.
3. Must be enrolled as a full-time student at the time of application and actively pursuing a bachelor’s degree or higher.
..."
Quality Assurance Analyst Intern (58343),2026-03-18,https://jobright.ai/jobs/info/69bae99406c1ba00c54d3d73?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Providence, RI 02904",AAA Northeast,$20-$25 /hr,,,,1001-5000,"1. Currently pursuing a Bachelor’s degree in Computer Science, Information Technology, Software Engineering, Information Systems, or a related field (or equivalent technical coursework/bootcamp experience).
2. Understanding of SDLC concepts and basic software testing principles (e.g., test cases, defects, regression).
3. Strong attention to detail with the ability to break down problems, follow steps precisely, and document outcomes clearly.
..."
2026 Digital Technology Summer Intern,2026-03-18,https://jobright.ai/jobs/info/699e2578ce78e77b4fe33811?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Houston, TX",LyondellBasell,N/A,2026-Summer,,"Chemical,Fuel",10000+,"1. Pursuing a Bachelor's degree in MIS, CS, or a related field
2. Overall GPA of 3.0 or greater
3. Strong skills in Microsoft Office (Outlook, Excel, Word, Visio)
..."
"Senior Software Engineer, Backend",2026-03-18,https://jobright.ai/jobs/info/698123a149964d25b5e3f334?utm_source=1099&utm_campaign=Software Engineer,Remote,United States,Flex,$172000-$215000 /yr,,,"Apps,Billing",251-500,"1. Minimum of 6 years experience in software engineering
2. Minimum of 4 years experience with Java
3. Ability to work on a globally-distributed team with a high degree of ownership
..."
Software Engineer Intern,2026-03-18,https://jobright.ai/jobs/info/69bb299b5697383741412898?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Freedom, PA","Mitsubishi Electric Power Products, Inc.",N/A,,,"Consumer Electronics,Electrical Distribution",501-1000,"1. Currently enrolled in a Bachelor’s or Master’s program, pursuing a degree in Computer Engineering, Software Engineering, or Machine Learning.
2. GPA of 3.0 or higher.
3. Strong interest in the power industry, manufacturing, and related technologies.
..."
"Senior Software Engineer, Mobile & Web",2026-03-18,https://jobright.ai/jobs/info/698286050f6f7e7a2cdbc7bd?utm_source=1099&utm_campaign=Software Engineer,Remote,San Francisco Bay Area,Flex,"$172,000-$210,000 /yr",,,"Apps,Billing",251-500,"1. A minimum of 4 years experience in React.js or React Native is required for this position.
2. Strong computer science fundamentals.
3. A strong focus on building high quality mobile and web UIs to specifications.
..."
Web Developer Intern,2026-03-18,https://jobright.ai/jobs/info/698452ee348f733a5c384ef4?utm_source=1099&utm_campaign=Software Engineer,On Site,"Birmingham, AL",Motion,N/A,,,Industrial,5001-10000,"1. Working on a BS degree in a computer related field (e.g. Computer Science, Engineering)
2. Working knowledge of web development languages and frameworks (Angular, React, Next.js, Nest.js, preferred)
3. Working knowledge of software development languages (Java preferred)
..."
